/sdcard/Download/anml.bmp,Looper,80,20,Remarkably accurate flavor of fruity cereal over creamy milk it has a complex-yet-immediately-familiar taste that flawlessly balances the crispness of a newly-opened box of fruity cereal with the rich indulgent flavor of fresh milk.,ANML
/sdcard/Download/anml.bmp,Carnage,80,20,A delicious flavor of delectable strawberry red vines. A perfect depiction of Red Vine Licorice! ,ANML
/sdcard/Download/themilkman.bmp,The Milkman,99,1,The Milkman has taken a warm toasted fruit tart thrown it into a blender with a dollop of delicious vanilla bean ice cream and a splash of fresh milk delivering a truly sensational flavor right to your taste buds in a delicious vapable 99% VG bottle. ,The Milkman
/sdcard/Download/thevapingrabbit.bmp,The Alice,99,1,Classic tres leches cake with a fruity glaze,The Vaping Rabbit
/sdcard/Download/thevapingrabbit.bmp,The Cheshire Cat,99,1,Orange pineapple upside-down cake with brown sugar glaze,The Vaping Rabbit
/sdcard/Download/thevapingrabbit.bmp,The Hatter,99,1,A slice of creamy Flan Napolitano,The Vaping Rabbit
/sdcard/Download/thevapingrabbit.bmp,The Pelican,99,1,Creamy grape mamba milkshake,The Vaping Rabbit
/sdcard/Download/thevapingrabbit.bmp,The White Rabbit,99,1,Blueberry Shortbread cookies with a creamy lemon frosting,The Vaping Rabbit
/sdcard/Download/thevapingrabbit.bmp,The White Queen,99,1,A creamy raspberry tart,The Vaping Rabbit
/sdcard/Download/drwardensflavouredvapourtonics.bmp,Snake Bite,70,30,Snake Bite will bite you harder than a starvin rattler with its blend of anise citrus and jackfruit.,Dr Wardens Flavoured Vapour Tonics
/sdcard/Download/drwardensflavouredvapourtonics.bmp,Yellow Rose,70,30,The good Doctors take on vanilla custard blends a creamy custard with notes of honey and rose with eye-popping results.,Dr Wardens Flavoured Vapour Tonics
/sdcard/Download/drwardensflavouredvapourtonics.bmp,Tumbleweed Tea,70,30,This tea aint for sissies.  It starts off smooth with a steeped ginger tea and strawberry blend then catches you by surprise with an amaretto kick on the finish.,Dr Wardens Flavoured Vapour Tonics
/sdcard/Download/kingscrown.bmp,Claim Your Throne,70,30,Our practice has made Claim Your Throne perfect. Enjoy a blend of sweet creams butterscotch and brown sugar. Theres nothing else like it anywhere. So dont take the plunge unless youre ready for something unique.,Kings Crown
/sdcard/Download/kingscrown.bmp,Bound By The Crown,70,30,This is it: the e-liquid that will capture your attention and keep it forever. Sweet custard. Spice. Ripened stone fruits. Its a twist on traditional fruit flavors. When the crown calls you will answer.,Kings Crown
/sdcard/Download/kingscrown.bmp,The King,70,30,When you aim high you can achieve wonders. And The King is the juice that towers above all else. Its a sophisticated liquid birthed from imagination and dedication perfectly balanced and infused with mysterious flavors.,Kings Crown
/sdcard/Download/kingscrown.bmp,Fight Your Fate,70,30,Your day is what you make of it. And Fight Your Fate is the juice to take with you on your journey. This beautifully crafted liquid will wrap you in tart lemons and sweet ripe-ripe strawberries. It all combines to create the experience you dream of.,Kings Crown
/sdcard/Download/fivepawns.bmp,Grandmaster,50,50,Smooth creamy peanut butter with banana cream and balanced with velvety caramel. Buttery and smooth with a medium bodied throat hit,Five Pawns
/sdcard/Download/fivepawns.bmp,Absolute Pin,50,50,Intense complexity of Irish cream cinnamon spice and caramel with subtle absinthe undertones.  Lively and with a medium to full bodied throat hit.,Five Pawns
/sdcard/Download/fivepawns.bmp,Gambit,50,50,Sweet and mellow ripe apple with savory pie crust and caramel. Topped off with French Vanilla ice cream and unsweetened whipped cream. Sweet and savory with a medium bodied throat hit.,Five Pawns
